TotalCases,TotalDeaths,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,UNEMPLOYED,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,HOUSEHOLD_SIZE,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,PER_OBESITY,PER_DIABETES,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,INCOME_RATIO,PER_UNEMPLOYED
88,4,837,2203,882,117,61,86.47562766,4.451739091,197.6486309,2.58,2417,696.87,1.76,0.002525579,6,3.5,0.324,0.086,0.628930818,0.772392638,1,4139,0.267393395,0.213411525,0.561703213,0.224885263,0.029831719,42238,0.435334873,4.420620339,0.027689514
1594,42,14055,33624,9528,1069,1324,1574.828219,335.6508133,4026.168776,2.74,22597,897.55,6.99,0.007787867,61.3,25.4,0.373,0.077,1.27388535,0.868366998,0.515475428,28163,0.13948104,0.245686717,0.587760239,0.166553044,0.018686524,59105,0.586660972,5.240897977,0.039376636
187932,3001,1251684,2952671,494264,51331,100473,57971.31703,10490.38905,169989.4602,2.88,1598698,1777.48,74,0.041631973,2402.4,938.5,0.277,0.1,5.662778436,0.796583902,0.012132803,49653,0.220600252,0.266394019,0.628412519,0.105193462,0.010924699,60146,0.604423838,4.953708802,0.034027834
1234,44,16865,38584,11277,1245,1308,1845.459769,223.8382622,4404.174277,2.81,27704,915.75,15.8,0.017253617,72.9,30.8,0.442,0.145,3.620873269,0.866967747,0.560543036,36789,0.172639868,0.252750052,0.578245362,0.169004586,0.018658394,51202,0.516910936,4.396119754,0.033900062
208,0,1184,3581,854,125,53,79.61210485,36.92557779,204.9749387,2.51,1946,1463.2,1.17,0.000799617,4.1,1.3,0.299,0.044,5.193370166,0.843029087,0.572583306,3471,0.20851959,0.21071365,0.637302011,0.151984339,0.022245951,59280,0.356011184,3.304797094,0.014800335
96,5,1083,3453,1277,180,90,97.37875002,56.15278843,262.7005332,2.46,3443,910.26,7.13,0.007832927,6.5,3.8,0.267,0.103,2.505694761,0.789568345,0.476182404,2809,0.252838759,0.186306554,0.594013418,0.219680028,0.030965078,46013,0.389233954,4.820833584,0.026064292
7097,99,51181,146986,24464,2094,3385,4465.117789,771.9562524,13163.93002,2.78,59417,679.92,1.95,0.002867984,231.7,87.6,0.3,0.08,3.847648659,0.785703819,0.317121452,49822,0.167221559,0.229891614,0.660222521,0.109885865,0.009405698,65935,0.692083693,4.553248393,0.023029404
248,1,1176,2096,553,67,48,89.31690623,27.2417529,181.3070062,3.04,1629,912.16,5.87,0.006435275,4.2,1.8,0.318,0.082,5.381818182,0.715562566,0.269503546,1026,0.239547038,0.30745098,0.547973856,0.144575163,0.01751634,63778,0.518,4.058383767,0.022900763
1782,54,17724,46493,18082,1887,1364,3128.240225,584.65742,6550.886855,2.56,39595,948.33,74.58,0.07864351,89.9,45.3,0.366,0.125,2.618767836,0.820875378,0.601105282,47206,0.211867539,0.215361061,0.564927885,0.219711054,0.02292859,45798,0.489743887,4.639610227,0.02933775
42844,2050,281965,487949,96025,12153,22881,7196.63223,1643.248286,20064.09801,3.58,248287,1582.91,12.04,0.007606244,493.2,158.1,0.344,0.111,12.78162435,0.803232525,0.05138693,39813,0.312079241,0.325617624,0.563491193,0.110891183,0.014034476,38398,0.482492371,5.644841668,0.046892196
